#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;,
title_godofearthquakes;God of Earthquakes;;;;;;,
title_godofearthquakes_desc;Make this character the God of Earthquakes!;;;;;;,
godofchaos;God of Chaos;;;;;;,
godofchaos_desc;This character is the God of Chaos!;;;;;;,
nick_the_godofchaos;the God of Chaos;;;;;;,
title_godofchaos;God of Chaos;;;;;;,
title_godofchaos_desc;Make this character the God of Chaos!;;;;;;,
goddessofthesun;Goddess of the Sun;;;;;;,
goddessofthesun_desc;This character is the Goddess of the Sun!;;;;;;,
nick_the_goddessofthesun;the Goddess of the Sun;;;;;;,
title_goddessofthesun;Goddess of the Sun;;;;;;,
title_goddessofthesun_desc;Make this character the Goddess of the Sun!;;;;;;,
goddessofprotection;Goddess of Protection;;;;;;,
goddessofprotection_desc;This character is the Goddess of Protection!;;;;;;,
nick_the_goddessofprotection;the Goddess of Protection;;;;;;,
title_goddessofprotection;Goddess of Protection;;;;;;,
title_goddessofprotection_desc;Make this character the Goddess of Protection!;;;;;;,
goddessofharvest;Goddess of Harvest;;;;;;,
goddessofharvest_desc;This character is the Goddess of Harvest!;;;;;;,
nick_the_goddessofharvest;the Goddess of Harvest;;;;;;,
title_goddessofharvest;Goddess of Harvest;;;;;;,
title_goddessofharvest_desc;Make this character the Goddess of Harvest!;;;;;;,
goddessofsilence;Goddess of Silence;;;;;;,
goddessofsilence_desc;This character is the Goddess of Silence!;;;;;;,
nick_the_goddessofsilence;the Goddess of Silence;;;;;;,
title_goddessofsilence;Goddess of Silence;;;;;;,
title_goddessofsilence_desc;Make this character the Goddess of Silence!;;;;;;,
goddessofwisdom;Goddess of Wisdom;;;;;;,
goddessofwisdom_desc;This character is the Goddess of Wisdom!;;;;;;,
nick_the_goddessofwisdom;the Goddess of Wisdom;;;;;;,
title_goddessofwisdom;Goddess of Wisdom;;;;;;,
title_goddessofwisdom_desc;Make this character the Goddess of Wisdom!;;;;;;,
goddessoflove;Goddess of Love;;;;;;,
goddessoflove_desc;This character is the Goddess of Love!;;;;;;,
nick_the_goddessoflove;the Goddess of Love;;;;;;,
title_goddessoflove;Goddess of Love;;;;;;,
title_goddessoflove_desc;Make this character the Goddess of Love!;;;;;;,
goddessofrain;Goddess of Rain;;;;;;,
goddessofrain_desc;This character is the Goddess of Rain!;;;;;;,
nick_the_goddessofrain;the Goddess of Rain;;;;;;,
title_goddessofrain;Goddess of Rain;;;;;;,
title_goddessofrain_desc;Make this character the Goddess of Rain!;;;;;;,
goddessofwine;Goddess of Wine;;;;;;,
goddessofwine_desc;This character is the Goddess of Wine!;;;;;;,
nick_the_goddessofwine;the Goddess of Wine;;;;;;,
title_goddessofwine;Goddess of Wine;;;;;;,
title_goddessofwine_desc;Make this character the Goddess of Wine!;;;;;;,
goddessofthemoon;Goddess of the Moon;;;;;;,
goddessofthemoon_desc;This character is the Goddess of the Moon!;;;;;;,
nick_the_goddessofthemoon;the Goddess of the Moon;;;;;;,
title_goddessofthemoon;Goddess of the Moon;;;;;;,
title_goddessofthemoon_desc;Make this character the Goddess of the Moon!;;;;;;,
goddessofdestruction;Goddess of Destruction;;;;;;,
goddessofdestruction_desc;This character is the Goddess of Destruction!;;;;;;,
nick_the_goddessofdestruction;the Goddess of Destruction;;;;;;,
title_goddessofdestruction;Goddess of Destruction;;;;;;,
title_goddessofdestruction_desc;Make this character the Goddess of Destruction!;;;;;;,
goddessofdecadence;Goddess of Decadence;;;;;;,
goddessofdecadence_desc;This character is the Goddess of Decadence!;;;;;;,
nick_the_goddessofdecadence;the Goddess of Decadence;;;;;;,
title_goddessofdecadence;Goddess of Decadence;;;;;;,
title_goddessofdecadence_desc;Make this character the Goddess of Decadence!;;;;;;,
goddessofmurder;Goddess of murder;;;;;;,
goddessofmurder_desc;This character is the Goddess of Murder!;;;;;;,
nick_the_goddessofmurder;the Goddess of Murder;;;;;;,
title_goddessofmurder;Goddess of Murder;;;;;;,
title_goddessofmurder_desc;Make this character the Goddess of Murder!;;;;;;,
goddessofmanipulation;Goddess of Manipulation;;;;;;,
goddessofmanipulation_desc;This character is the Goddess of Manipulation!;;;;;;,
nick_the_goddessofmanipulation;the Goddess of Manipulation;;;;;;,
title_goddessofmanipulation;Goddess of Manipulation;;;;;;,
title_goddessofmanipulation_desc;Make this character the Goddess of Manipulation!;;;;;;,
goddessoflust;Goddess of Lust;;;;;;,
goddessoflust_desc;This character is the Goddess of Lust!;;;;;;,
nick_the_goddessoflust;the Goddess of Lust;;;;;;,
title_goddessoflust;Goddess of Lust;;;;;;,
title_goddessoflust_desc;Make this character the Goddess of Lust!;;;;;;,
goddessoffire;Goddess of Fire;;;;;;,
goddessoffire_desc;This character is the Goddess of Fire!;;;;;;,
nick_the_goddessoffire;the Goddess of Fire;;;;;;,
title_goddessoffire;Goddess of Fire;;;;;;,
title_goddessoffire_desc;Make this character the Goddess of Fire!;;;;;;,
goddessofhunting;Goddess of Hunting;;;;;;,
goddessofhunting_desc;This character is the Goddess of Hunting!;;;;;;,
nick_the_goddessofhunting;the Goddess of Hunting;;;;;;,
title_goddessofhunting;Goddess of Hunting;;;;;;,
title_goddessofhunting_desc;Make this character the Goddess of Hunting!;;;;;;,
nick_the_kingofthegods;King of the Gods;;;;;;,
nick_the_queenofthegods;Queen of the Gods;;;;;;,
nick_the_evilking;King of the Evil Gods;;;;;;,
nick_the_evilqueen;Queen of the Evil Gods;;;;;;,
god_king;Become King of the Gods!;;;;;;,
god_king_desc;Claim yourself as the King of the Gods!;;;;;;,
god_queen;Become Queen of the Gods!;;;;;;,
god_queen_desc;Claim yourself as the King of the Gods!;;;;;;,
evilgod_king;Become King of the Evil Gods!;;;;;;,
evilgod_king_desc;Claim yourself as the King of the Evil Gods!;;;;;;,
evilgod_queen;Become Queen of the Evil Gods!;;;;;;,
evilgod_queen_desc;Claim yourself as the Queen of the Evil Gods!;;;;;;,
EVTDESCkingsqueens.1;You have claimed yourself as the King of the Gods!;;;;;;,
EVTOPTAkingsqueens.1;I AM KING!;;;;;;,
EVTDESCkingsqueens.2;You have claimed yourself as the Queen of the Gods!;;;;;;,
EVTOPTAkingsqueens.2;I AM QUEEN!;;;;;;,
EVTDESCkingsqueens.3;You have claimed yourself as the King of the Evil Gods!;;;;;;,
EVTOPTAkingsqueens.3;I AM KING!;;;;;;,
EVTDESCkingsqueens.4;You have claimed yourself as the Queen of the Evil Gods!;;;;;;,
EVTOPTAkingsqueens.4;I AM QUEEN!;;;;;;,
title_godking;King of the Gods;;;;;;,
title_godking_desc;Make this character your King of the Gods!;;;;;;,
title_godqueen;Queen of the Gods;;;;;;,
title_godqueen_desc;Make this character your Queen of the Gods!;;;;;;,
title_evilgodking;King of the Evil Gods;;;;;;,
title_evilgodking_desc;Make this character your King of the Evil Gods!;;;;;;,
title_evilgodqueen;Queen of the Evil Gods;;;;;;,
title_evilgodqueen_desc;Make this character your Queen of the Evil Gods!;;;;;;,
grant_sword;Grant Your Sword;;;;;;,
grant_sword_desc;Grant your kinsman your sword! Share the strength!;;;;;;,
grant_shield;Grant Your Shield;;;;;;,
grant_shield_desc;Grant your kinsman your shield! Share the strength!;;;;;;,
grant_helmet;Grant Your Helmet;;;;;;,
grant_helmet_desc;Grant your kinsman your helmet! Share the strength!;;;;;;,
grant_armor;Grant Your Armor;;;;;;,
grant_armor_desc;Grant your kinsman your Armor! Share the strength!;;;;;;,
grant_leggings;Grant Your Leggings;;;;;;,
grant_leggings_desc;Grant your kinsman your Leggings! Share the strength!;;;;;;,
jotnar;Jutnar;;;;;;,
jotnar_desc;Norse Giants;;;;;;,
jotnar_offensive;Jutnar Offensive;;;;;;,
jotnar_defensive;Jutnar Defensive;;;;;;,
jotnar_morale;Jutnar Morale;;;;;;,
titans;Titans;;;;;;,
titans_desc;Olympic Titans;;;;;;,
titans_offensive;Titan Offensive;;;;;;,
titans_defensive;Titan Defensive;;;;;;,
titans_morale;Titan Morale;;;;;;,
RETTYPE_JOTNARA;Jutnar Raiding Party;;;;;;,
RETTYPE_JOTNARB;Small Jutnar Regiment;;;;;;,
RETTYPE_JOTNARC;Medium Jutnar Regiment;;;;;;,
RETTYPE_YOUKAIA;Youkai Raiding Party;;;;;;,
RETTYPE_YOUKAIB;Small Youkai Regiment;;;;;;,
RETTYPE_YOUKAIC;Medium Youkai Regiment;;;;;;,
RETTYPE_JOTNARD;Jï¿½tnar Legion;;;;;;,
RETTYPE_TITANA;Titan Raiding Party;;;;;;,
RETTYPE_TITANB;Small Titan Regiment;;;;;;,
RETTYPE_TITANC;Medium Titan Regiment;;;;;;,
RETTYPE_TITAND;Titan Legion;;;;;;,
Norse_God;Norse God;;;;;;,
Norse_God_desc;Nordic Gods of Old;;;;;;,
Olympic_God;Olympic God;;;;;;,
Olympic_God_desc;Olympic Gods of Old;;;;;;,
Eastern_God;Eastern God;;;;;;,
Eastern_God_desc;Gods from the East;;;;;;,
ca_culture_Norse_God_1;Cave of Utgardr;;;;;;,
ca_culture_Norse_God_2;Deep Cave of Utgardr;;;;;;,
ca_culture_Norse_God_3;Deeper Cave of Utgardr;;;;;;,
ca_culture_Norse_God_4;Infinite Cave of Utgardr;;;;;;,
ca_culture_Norse_God_1_desc;Utgardr is the home of the Jutnar, Norse Giants.;;;;;;
ca_culture_Olympic_God_1;Tartaros I;;;;;;,
ca_culture_Olympic_God_2;Tartaros II;;;;;;,
ca_culture_Olympic_God_3;Tartaros III;;;;;;,
ca_culture_Olympic_God_4;Tartaros IV;;;;;;,
ca_culture_Eastern_God_1;Small Torii Gate;;;;;;,
ca_culture_Eastern_God_2;Large Torii Gate;;;;;;,
ca_culture_Eastern_God_3;Huge Torii Gate;;;;;;,
ca_culture_Eastern_God_4;Heavenly Gate;;;;;;,
ca_culture_Eastern_God_1_desc;A gate which leads to the heavens.;;;;;;,
ca_culture_Eastern_God_2_desc;A gate which leads to the heavens.;;;;;;,
ca_culture_Eastern_God_3_desc;A gate which leads to the heavens.;;;;;;,
ca_culture_Eastern_God_4_desc;A gate which leads to the heavens.;;;;;;,
ca_culture_Olympic_God_1_desc;Tartaros is the prison which the Olympic Gods keep the Titans.;;;;;;,
Jotunn;Jotunn;;;;;;,
Jotunn_desc;This Character is a Norse Giant! Known as the Jutnar!;;;;;;,
Titan;Titan;;;;;;,
Titan_desc;This Character is a Titan! The Gods of old, but is now under the commands of the Olympic Gods!;;;;;;
Half_Jotunn;Half Jotunn;;;;;;,
Half_Jotunn_desc;This Character is half Norse Giant, half Man!;;;;;;
Jotunn_Blood;Blood of the Jutnar;;;;;;,
Jotunn_Blood_desc;This Character has the blood of the Jutnar in them!;;;;;;,
Young_Titan;Young Titan;;;;;;,
Young_Titan_desc;This Character is a young Titan!;;;;;;,
Titan_Blood;Blood of the Titans;;;;;;,
Titan_Blood_desc;This Character has the blood of the Titans in them!;;;;;;,
EVTDESCgodculture.1;Choose your God Culture!;;;;;;,
EVTOPTAgodculture.1a;High God (Angels);;;;;;,
EVTOPTAgodculture.1b;Evil God (Dark Angels);;;;;;,
EVTOPTBgodculture.2;Norse God (Jutnar);;;;;;,
EVTOPTCgodculture.2;Olympic God (Titans);;;;;;,
EVTOPTDgodculture.2;Eastern God (Youkai);;;;;;,
EVTOPTEgodculture.2;I reject the cultures of the gods!;;;;;;,
EVTOPTFgodculture.2;More…;;;;;;,
EVTNAMEthegods.98;Culture Shift!;;;;;;,
EVTDESCthegods.98;Your Nordic ways are spreading! The mortals are beginning to model themselves after you.;;;;;;,
EVTOPTAthegods.98;MY DIVINE NORSE IS SPREADING;;;;;;,
EVTNAMEthegods.97;Culture Shift!;;;;;;,
EVTDESCthegods.97;Your Olympian ways are spreading! The mortals are beginning to model themselves after you.;;;;;;,
EVTOPTAthegods.97;MY DIVINE OLYMPIAN IS SPREADING;;;;;;,
Create_Female_Angel;Create Female Angel;;;;;;,
Create_Female_Angel_desc;Fusing Light with Life you have the ability to create Angels when you wish!;;;;;;,
Create_Female_Dark_Angel;Create Female Dark Angel;;;;;;,
Create_Female_Dark_Angel_desc;Fusing Darkness with Life you have the ability to create Dark Angels when you wish!;;;;;;,
Create_Jotunn;Create a Jotunn;;;;;;,
Create_Jotunn_desc;Create the famous Norse Giants of old, a Jotunn!;;;;;;
Create_Titan;Create a Titan;;;;;;,
Create_Titan_desc;Create the famous Norse Giants of old, a Jotunn!;;;;;;
RULE_WAR_ON;Default;;;;;;;;;;;;;x,
RULE_WAR_OFF;No War;;;;;;;;;;;;;x,
RULE_WAR_JUSTGOOD;Only Good;;;;;;;;;;;;;x,
RULE_WAR_JUSTGOOD_DESC;Only Good gods exist.  This setting turns off auto-conversion to Evil religion and Evil God.;;;;;;;;;;;;;x,
RULE_WARTOGGLE;War of the Gods;;;;;;;;;;;;;x,
d_gofl;Guardians of Light;;;;;;;;;;;;;x,
d_gofd;Guardians of Darkness;;;;;;;;;;;;;x,
d_al;Angelic Host;;;;;;;;;;;;;x,
d_dal;Dark Angelic Host;;;;;;;;;;;;;x,
d_sol;Swords of Light;;;;;;;;;;;;;x,
d_sod;Swords of Darkness;;;;;;;;;;;;;x,
d_gofl_adj;Light Guardian;;;;;;;;;;;;;x,
d_gofd_adj;Dark Guardian;;;;;;;;;;;;;x,
d_al_adj;Angelic;;;;;;;;;;;;;x,
d_dal_adj;Dark Angelic;;;;;;;;;;;;;x,
d_sol_adj;Light Sword;;;;;;;;;;;;;x,
d_sod_adj;Dark Sword;;;;;;;;;;;;;x,
STAT_PIETY_MENU_PIETY_GOD;Divine Power;;;;;;;;;;;;;x
STAT_PIETY_MENU_PIETY_EVILGOD;Divine Power;;;;;;;;;;;;;x,
player_gift_angel;Gift Angelic Host;;;;;;;;;;;;;x,
player_gift_angel_desc;Send an angelic host to assist [Root.GetFullName] with [Root.GetHersHis] wars.;;;;;;;;;;;;;x,
EVTDESCgift_troops_ai.0;You raise your arms wide, and the golden note of a clarion sounds in the distance. The heralds of your angelic host ride forth to battle!;;;;;;;;;;;;;x,
EVTOPTAgift_troops_ai.0;A mere warband shall suffice.;;;;;;;;;;;;;x,
EVTOPTBgift_troops_ai.0;My followers shall know their protectors are Legion.;;;;;;;;;;;;;x,
EVTOPTCgift_troops_ai.0;An army of my angels to crush the unbelievers!;;;;;;;;;;;;;x,
EVTOPTDgift_troops_ai.0;March in vast array, that none still standing shall doubt my glory.;;;;;;;;;;;;;x,
EVTOPTEgift_troops_ai.0;Let the world tremble with the boots of my angels!;;;;;;;;;;;;;x,
EVTOPTFgift_troops_ai.0;The Final Battle is here.;;;;;;;;;;;;;x,
EVTOPTGgift_troops_ai.0;More!;;;;;;;;;;;;;x,
divine_relic;Create Divine Relic;;;;;;;;;;;;;x,
divine_relic_desc;Create a relic imbued with your divine energy.;;;;;;;;;;;;;x,
EVTDESCthegodsbless.4;What manner of divine relic shall you create?;;;;;;;;;;;;;x,
divine_sword;Radiant Sword;;;;;;;;;;;;;x,
divine_sword_desc;This blade burns eternally with divine fire.;;;;;;;;;;;;;x,
divine_axe;World-Hewing Axe;;;;;;;;;;;;;x,
divine_axe_desc;This axe glows with an otherworldly light.;;;;;;;;;;;;;x,
divine_hammer;Mighty Hammer;;;;;;;;;;;;;x,
divine_hammer_desc;This hammer, when thrown, can carry its wielder great distances.;;;;;;;;;;;;;x,
divine_spear;Spear of Destiny;;;;;;;;;;;;;x,
divine_spear_desc;This spear hums with the universe's unrealized potential.;;;;;;;;;;;;;x,
divine_shield;Divine Aegis;;;;;;;;;;;;;x,
divine_shield_desc;This shield protects its bearer from all mortal sources of harm.;;;;;;;;;;;;;x,
divine_symbol;Holy Symbol;;;;;;;;;;;;;x,
divine_symbol_desc;This symbol bears an ancient God-Name, carved in the divine script of elder days.;;;;;;;;;;;;;x,
divine_horn;Horn of Plenty;;;;;;;;;;;;;x,
divine_horn_desc;This horn plays music as beautiful as the bounty it provides its bearer.;;;;;;;;;;;;;x,
divine_trick;Ring of Trickery;;;;;;;;;;;;;x,
divine_trick_desc;This ring bestows shapeshifting powers on its bearer.;;;;;;;;;;;;;x,
EVTOPTAthegodsbless.4;A sword, forever burning with divine glory.;;;;;;;;;;;;;x,
EVTOPTBthegodsbless.4;A mighty axe, forged in divine fire.;;;;;;;;;;;;;x,
EVTOPTCthegodsbless.4;There is no greater symbol of divinity than a weighty hammer. And let it fly!;;;;;;;;;;;;;x,
EVTOPTDthegodsbless.4;Something else...;;;;;;;;;;;;;x,
EVTOPTEthegodsbless.4;A spear which can pierce the very heavens!;;;;;;;;;;;;;x,
EVTOPTFthegodsbless.4;A shield of faith, to protect from all attacks.;;;;;;;;;;;;;x,
EVTOPTGthegodsbless.4;A perfect sign of divine grace.;;;;;;;;;;;;;x,
EVTOPTJthegodsbless.4;Something else...;;;;;;;;;;;;;x,
EVTOPTHthegodsbless.4;A hero's horn, useful in both peace and war.;;;;;;;;;;;;;x,
EVTOPTIthegodsbless.4;A trickster's ring.;;;;;;;;;;;;;x,
EVTOPTKthegodsbless.4;Go back.;;;;;;;;;;;;;x,
EVTOPTLthegodsbless.4;Never mind.;;;;;;;;;;;;;x,
